released_year,released_month,released_day,release_date
2023,3,17,2023-03-17
2023,3,17,2023-03-17
2017,11,8,2017-11-08
2020,6,5,2020-06-05
2023,5,12,2023-05-12
2023,3,17,2023-03-17
2022,12,9,2022-12-09
2011,1,1,2011-01-01
2023,6,9,2023-06-09
2012,1,1,2012-01-01
2022,12,2,2022-12-02
2023,4,14,2023-04-14
2004,1,1,2004-01-01
2023,7,7,2023-07-07
2022,4,20,2022-04-20
2017,11,10,2017-11-10
2017,4,28,2017-04-28
2021,3,11,2021-03-11
2011,1,1,2011-01-01
2012,1,1,2012-01-01
2022,12,2,2022-12-02
2023,6,22,2023-06-22
2023,7,7,2023-07-07
1985,2,17,1985-02-17
2014,12,9,2014-12-09
2023,2,25,2023-02-25
2023,2,8,2023-02-08
2023,5,12,2023-05-12
2020,7,24,2020-07-24
2023,6,22,2023-06-22
2023,3,10,2023-03-10
2022,7,15,2022-07-15
2022,12,9,2022-12-09
2021,6,11,2021-06-11
2022,8,19,2022-08-19
2011,8,16,2011-08-16
2019,11,17,2019-11-17
2017,8,11,2017-08-11
2023,6,21,2023-06-21
2023,5,15,2023-05-15
2023,1,2,2023-01-02
2011,1,1,2011-01-01
2023,1,11,2023-01-11
2007,4,20,2007-04-20
2023,6,2,2023-06-02
2022,12,2,2022-12-02
2023,5,22,2023-05-22
2017,1,1,2017-01-01
2022,7,20,2022-07-20
2017,1,31,2017-01-31
2023,5,19,2023-05-19
2023,6,1,2023-06-01
2002,1,1,2002-01-01
2023,7,13,2023-07-13
2016,11,24,2016-11-24
2022,5,6,2022-05-06
2004,1,1,2004-01-01
2019,5,10,2019-05-10
2023,1,27,2023-01-27
2023,6,30,2023-06-30
2023,5,26,2023-05-26
2010,1,1,2010-01-01
2023,2,2,2023-02-02
2012,12,5,2012-12-05
2023,4,4,2023-04-04
2022,6,17,2022-06-17
2013,1,1,2013-01-01
2021,3,19,2021-03-19
2019,10,4,2019-10-04
2023,1,23,2023-01-23
2004,7,13,2004-07-13
2016,4,4,2016-04-04
2010,1,1,2010-01-01
2020,3,20,2020-03-20
2010,5,25,2010-05-25
1983,1,6,1983-01-06
2015,2,2,2015-02-02
2011,1,1,2011-01-01
2012,12,5,2012-12-05
2018,5,25,2018-05-25
2023,6,2,2023-06-02
2013,1,1,2013-01-01
2012,1,1,2012-01-01
2023,4,12,2023-04-12
2016,11,25,2016-11-25
2014,1,1,2014-01-01
2013,1,1,2013-01-01
2022,3,19,2022-03-19
2017,1,6,2017-01-06
2014,11,17,2014-11-17
2023,1,13,2023-01-13
1992,9,21,1992-09-21
2019,10,18,2019-10-18
2017,3,21,2017-03-21
2023,5,19,2023-05-19
2016,8,20,2016-08-20
2019,8,30,2019-08-30
2010,1,1,2010-01-01
2013,9,13,2013-09-13
2022,12,16,2022-12-16
2021,4,9,2021-04-09
2022,5,6,2022-05-06
2023,7,7,2023-07-07
2020,2,10,2020-02-10
1968,7,1,1968-07-01
2010,7,20,2010-07-20
2023,6,8,2023-06-08
2022,12,19,2022-12-19
1984,10,19,1984-10-19
2023,6,2,2023-06-02
2023,5,1,2023-05-01
2023,5,11,2023-05-11
2022,11,24,2022-11-24
2023,5,15,2023-05-15
2023,6,2,2023-06-02
2023,5,26,2023-05-26
2023,3,30,2023-03-30
2023,6,2,2023-06-02
2023,3,17,2023-03-17
2023,5,13,2023-05-13
2022,9,29,2022-09-29
2023,6,2,2023-06-02
2023,3,31,2023-03-31
2023,6,2,2023-06-02
2023,3,23,2023-03-23
2022,10,12,2022-10-12
2022,11,30,2022-11-30
2023,5,26,2023-05-26
2022,12,2,2022-12-02
2023,4,4,2023-04-04
2022,12,2,2022-12-02
2022,12,1,2022-12-01
2023,5,26,2023-05-26
2022,11,30,2022-11-30
2023,5,22,2023-05-22
2023,5,26,2023-05-26
2022,7,8,2022-07-08
2023,6,2,2023-06-02
2023,3,1,2023-03-01
2022,6,29,2022-06-29
2022,7,29,2022-07-29
2023,6,5,2023-06-05
2023,5,18,2023-05-18
2023,4,21,2023-04-21
2023,4,7,2023-04-07
2023,5,19,2023-05-19
2022,10,21,2022-10-21
2023,6,2,2023-06-02
2022,5,6,2022-05-06
2023,1,27,2023-01-27
2023,2,14,2023-02-14
2022,10,17,2022-10-17
2016,1,21,2016-01-21
2021,9,1,2021-09-01
2022,11,4,2022-11-04
2021,10,14,2021-10-14
2023,5,11,2023-05-11
2023,6,2,2023-06-02
2023,2,14,2023-02-14
2000,1,1,2000-01-01
2022,12,16,2022-12-16
2021,12,10,2021-12-10
2022,6,10,2022-06-10
2023,5,4,2023-05-04
2023,5,5,2023-05-05
2023,5,1,2023-05-01
2023,4,21,2023-04-21
2023,4,30,2023-04-30
2023,2,24,2023-02-24
2023,4,7,2023-04-07
2023,2,2,2023-02-02
2022,4,8,2022-04-08
2023,2,24,2023-02-24
2023,4,10,2023-04-10
1997,1,1,1997-01-01
2023,3,4,2023-03-04
2023,4,24,2023-04-24
2022,4,22,2022-04-22
2023,4,21,2023-04-21
2019,8,23,2019-08-23
2022,4,21,2022-04-21
2023,4,14,2023-04-14
2023,2,3,2023-02-03
2021,9,9,2021-09-09
2022,12,30,2022-12-30
2023,4,25,2023-04-25
2022,8,16,2022-08-16
2022,7,28,2022-07-28
2022,10,21,2022-10-21
2023,2,5,2023-02-05
2022,4,28,2022-04-28
2022,11,4,2022-11-04
2014,6,5,2014-06-05
2021,11,25,2021-11-25
2023,4,27,2023-04-27
2022,12,24,2022-12-24
2023,3,17,2023-03-17
2018,3,29,2018-03-29
2023,5,4,2023-05-04
2022,9,16,2022-09-16
2022,12,22,2022-12-22
2018,3,29,2018-03-29
2023,3,24,2023-03-24
2023,2,2,2023-02-02
2021,12,3,2021-12-03
2002,1,1,2002-01-01
2002,5,26,2002-05-26
2023,3,2,2023-03-02
2023,4,7,2023-04-07
2023,3,17,2023-03-17
2023,3,22,2023-03-22
2023,3,27,2023-03-27
2022,11,1,2022-11-01
2023,3,31,2023-03-31
2023,3,25,2023-03-25
2021,12,24,2021-12-24
2023,3,24,2023-03-24
2022,5,20,2022-05-20
2022,12,9,2022-12-09
2020,3,20,2020-03-20
2022,4,22,2022-04-22
2023,3,29,2023-03-29
2023,3,14,2023-03-14
2022,10,21,2022-10-21
2023,2,10,2023-02-10
2022,5,13,2022-05-13
2022,4,1,2022-04-01
2022,10,26,2022-10-26
2022,1,21,2022-01-21
1995,7,11,1995-07-11
2022,11,13,2022-11-13
2014,11,28,2014-11-28
2017,2,20,2017-02-20
2016,9,9,2016-09-09
2015,5,27,2015-05-27
2019,5,10,2019-05-10
2023,4,7,2023-04-07
2022,12,15,2022-12-15
2022,7,25,2022-07-25
2022,12,9,2022-12-09
2003,3,24,2003-03-24
2023,2,24,2023-02-24
2023,3,3,2023-03-03
2022,12,2,2022-12-02
2022,8,5,2022-08-05
2023,3,3,2023-03-03
2023,3,3,2023-03-03
2023,2,23,2023-02-23
2023,1,31,2023-01-31
2023,2,17,2023-02-17
2022,12,15,2022-12-15
2023,1,23,2023-01-23
2023,1,31,2023-01-31
2022,11,5,2022-11-05
2022,10,31,2022-10-31
2022,12,15,2022-12-15
2023,3,3,2023-03-03
2023,3,3,2023-03-03
2022,5,31,2022-05-31
2022,12,9,2022-12-09
2023,2,23,2023-02-23
2022,8,1,2022-08-01
2011,1,1,2011-01-01
2022,10,19,2022-10-19
2023,3,3,2023-03-03
2023,1,20,2023-01-20
2022,5,6,2022-05-06
2000,10,24,2000-10-24
2022,12,8,2022-12-08
2022,7,28,2022-07-28
2022,6,3,2022-06-03
2022,5,6,2022-05-06
2022,9,8,2022-09-08
2022,12,23,2022-12-23
2021,9,3,2021-09-03
2017,8,25,2017-08-25
2022,11,3,2022-11-03
2019,6,28,2019-06-28
2022,10,20,2022-10-20
2023,1,27,2023-01-27
2020,2,19,2020-02-19
2022,7,15,2022-07-15
2023,3,3,2023-03-03
2020,5,20,2020-05-20
2022,9,29,2022-09-29
2022,10,12,2022-10-12
2022,5,6,2022-05-06
2021,9,24,2021-09-24
2023,3,3,2023-03-03
2023,1,27,2023-01-27
2023,1,27,2023-01-27
2023,1,27,2023-01-27
2022,10,17,2022-10-17
2022,11,30,2022-11-30
2023,1,13,2023-01-13
2022,10,28,2022-10-28
2022,10,28,2022-10-28
2022,9,22,2022-09-22
2016,11,4,2016-11-04
2019,4,12,2019-04-12
2016,9,27,2016-09-27
2022,2,9,2022-02-09
2022,12,22,2022-12-22
2022,11,25,2022-11-25
2015,1,1,2015-01-01
2022,11,20,2022-11-20
2022,4,21,2022-04-21
2023,1,12,2023-01-12
2022,7,21,2022-07-21
2014,1,1,2014-01-01
2020,3,20,2020-03-20
2022,12,12,2022-12-12
2017,6,2,2017-06-02
2023,1,27,2023-01-27
2022,8,19,2022-08-19
2022,4,27,2022-04-27
2019,10,31,2019-10-31
2014,8,8,2014-08-08
2022,9,16,2022-09-16
2021,7,23,2021-07-23
2020,1,10,2020-01-10
2015,4,22,2015-04-22
2022,9,22,2022-09-22
2022,9,9,2022-09-09
2022,8,5,2022-08-05
2022,12,9,2022-12-09
2022,11,4,2022-11-04
2022,7,20,2022-07-20
2022,10,3,2022-10-03
2022,1,17,2022-01-17
2022,12,2,2022-12-02
2021,6,4,2021-06-04
2022,8,12,2022-08-12
1985,9,16,1985-09-16
1973,1,5,1973-01-05
2022,8,11,2022-08-11
2021,7,30,2021-07-30
2022,9,28,2022-09-28
2020,9,3,2020-09-03
2022,10,12,2022-10-12
2022,4,8,2022-04-08
2020,12,24,2020-12-24
2020,3,27,2020-03-27
2021,6,25,2021-06-25
2022,9,14,2022-09-14
2022,3,14,2022-03-14
2022,10,21,2022-10-21
2022,7,17,2022-07-17
1930,1,1,1930-01-01
2012,1,1,2012-01-01
1994,10,28,1994-10-28
1984,1,1,1984-01-01
1958,1,1,1958-01-01
1957,1,1,1957-01-01
2011,10,14,2011-10-14
2013,12,13,2013-12-13
1963,10,14,1963-10-14
1959,11,16,1959-11-16
2017,1,1,2017-01-01
2013,10,25,2013-10-25
1970,11,1,1970-11-01
2011,10,14,2011-10-14
2011,1,1,2011-01-01
1963,11,22,1963-11-22
2022,12,9,2022-12-09
2022,12,9,2022-12-09
1971,12,1,1971-12-01
2022,12,8,2022-12-08
1952,1,1,1952-01-01
1946,11,1,1946-11-01
1979,11,16,1979-11-16
1984,11,25,1984-11-25
2022,12,9,2022-12-09
2022,12,9,2022-12-09
1984,1,1,1984-01-01
1950,1,1,1950-01-01
2022,12,9,2022-12-09
2022,12,8,2022-12-08
1942,1,1,1942-01-01
1986,1,1,1986-01-01
1963,11,22,1963-11-22
2022,12,9,2022-12-09
2022,12,9,2022-12-09
2022,12,9,2022-12-09
2017,11,10,2017-11-10
1958,1,1,1958-01-01
2000,11,7,2000-11-07
2022,11,4,2022-11-04
2022,12,2,2022-12-02
2021,12,3,2021-12-03
2022,12,2,2022-12-02
2022,10,31,2022-10-31
1959,1,1,1959-01-01
2022,12,9,2022-12-09
2022,12,9,2022-12-09
2022,10,21,2022-10-21
2022,10,21,2022-10-21
2022,9,28,2022-09-28
2022,10,21,2022-10-21
2022,5,6,2022-05-06
2005,9,20,2005-09-20
2021,6,25,2021-06-25
2022,12,8,2022-12-08
2022,5,6,2022-05-06
1958,1,1,1958-01-01
1957,1,1,1957-01-01
2022,12,9,2022-12-09
2022,12,2,2022-12-02
2022,8,25,2022-08-25
2021,8,13,2021-08-13
2022,1,7,2022-01-07
2022,1,7,2022-01-07
2022,1,5,2022-01-05
2022,1,7,2022-01-07
2021,8,20,2021-08-20
2021,11,19,2021-11-19
2021,6,24,2021-06-24
2022,1,7,2022-01-07
2022,1,7,2022-01-07
2017,6,23,2017-06-23
2022,1,7,2022-01-07
2021,8,6,2021-08-06
2021,5,14,2021-05-14
2022,1,7,2022-01-07
2022,1,7,2022-01-07
2021,4,9,2021-04-09
2022,1,7,2022-01-07
2021,6,11,2021-06-11
2020,9,18,2020-09-18
2019,7,26,2019-07-26
2022,1,7,2022-01-07
2021,11,19,2021-11-19
2022,1,7,2022-01-07
2021,9,17,2021-09-17
2021,11,5,2021-11-05
2017,12,8,2017-12-08
2020,9,21,2020-09-21
2021,10,5,2021-10-05
2021,9,10,2021-09-10
2021,11,4,2021-11-04
2021,7,30,2021-07-30
2021,10,22,2021-10-22
2021,5,21,2021-05-21
2021,9,10,2021-09-10
2021,1,8,2021-01-08
2021,11,30,2021-11-30
2021,11,12,2021-11-12
2022,1,7,2022-01-07
2021,11,19,2021-11-19
2022,1,5,2022-01-05
2022,1,7,2022-01-07
2021,11,18,2021-11-18
2021,10,27,2021-10-27
2021,12,1,2021-12-01
2018,3,9,2018-03-09
2021,10,30,2021-10-30
2021,8,3,2021-08-03
2020,11,2,2020-11-02
2019,8,30,2019-08-30
2021,11,5,2021-11-05
2020,3,13,2020-03-13
2022,1,7,2022-01-07
2021,10,22,2021-10-22
2021,3,19,2021-03-19
2020,10,30,2020-10-30
2021,12,29,2021-12-29
2022,1,9,2022-01-09
2021,9,8,2021-09-08
2021,9,24,2021-09-24
2020,7,17,2020-07-17
2021,9,16,2021-09-16
2021,5,21,2021-05-21
2022,1,7,2022-01-07
2021,6,24,2021-06-24
2021,4,1,2021-04-01
2020,8,21,2020-08-21
2021,11,5,2021-11-05
2019,1,11,2019-01-11
2021,10,21,2021-10-21
2021,7,8,2021-07-08
2021,3,5,2021-03-05
2021,9,3,2021-09-03
2021,8,1,2021-08-01
1970,1,1,1970-01-01
2021,11,11,2021-11-11
2021,11,19,2021-11-19
2022,1,7,2022-01-07
2021,11,19,2021-11-19
2015,5,10,2015-05-10
2021,9,1,2021-09-01
2015,10,30,2015-10-30
2022,1,7,2022-01-07
2021,12,1,2021-12-01
2020,7,24,2020-07-24
2021,11,19,2021-11-19
2021,11,17,2021-11-17
2022,1,7,2022-01-07
2021,5,21,2021-05-21
2021,8,29,2021-08-29
2021,6,25,2021-06-25
2019,11,1,2019-11-01
2020,12,25,2020-12-25
2010,11,29,2010-11-29
2021,7,8,2021-07-08
2021,12,23,2021-12-23
2021,5,21,2021-05-21
2021,5,7,2021-05-07
2020,1,1,2020-01-01
2020,10,23,2020-10-23
2021,3,19,2021-03-19
2021,10,22,2021-10-22
2021,10,1,2021-10-01
2020,2,21,2020-02-21
2016,11,18,2016-11-18
2021,8,13,2021-08-13
2016,4,20,2016-04-20
2021,4,14,2021-04-14
2017,3,30,2017-03-30
2021,7,28,2021-07-28
2019,1,1,2019-01-01
2021,9,2,2021-09-02
2021,8,10,2021-08-10
2010,10,4,2010-10-04
2020,4,17,2020-04-17
2014,1,1,2014-01-01
2021,8,6,2021-08-06
2021,9,3,2021-09-03
2021,6,25,2021-06-25
2021,10,27,2021-10-27
2019,5,10,2019-05-10
2017,6,15,2017-06-15
2021,1,28,2021-01-28
2013,8,1,2013-08-01
1991,9,10,1991-09-10
2019,3,7,2019-03-07
2021,9,3,2021-09-03
2021,11,11,2021-11-11
2022,1,10,2022-01-10
2021,8,27,2021-08-27
2003,9,23,2003-09-23
2022,1,10,2022-01-10
2021,6,24,2021-06-24
2019,11,7,2019-11-07
2018,9,27,2018-09-27
2022,1,10,2022-01-10
2021,4,28,2021-04-28
2021,7,9,2021-07-09
2021,1,15,2021-01-15
2021,4,9,2021-04-09
2002,5,26,2002-05-26
2019,9,20,2019-09-20
2021,8,12,2021-08-12
2022,1,7,2022-01-07
2021,12,29,2021-12-29
2021,10,14,2021-10-14
2021,4,29,2021-04-29
2021,11,18,2021-11-18
2022,2,10,2022-02-10
1999,1,1,1999-01-01
2022,2,11,2022-02-11
2022,2,11,2022-02-11
2022,2,11,2022-02-11
1999,1,1,1999-01-01
2022,1,19,2022-01-19
2022,2,11,2022-02-11
2022,2,2,2022-02-02
2012,1,1,2012-01-01
2002,1,1,2002-01-01
2022,2,4,2022-02-04
2013,8,16,2013-08-16
2019,8,4,2019-08-04
2016,8,5,2016-08-05
2019,10,4,2019-10-04
2019,6,21,2019-06-21
2020,7,24,2020-07-24
2021,12,10,2021-12-10
2022,1,14,2022-01-14
1995,12,28,1995-12-28
1999,1,1,1999-01-01
2021,11,19,2021-11-19
2021,12,17,2021-12-17
2017,3,30,2017-03-30
1999,11,21,1999-11-21
2020,1,16,2020-01-16
2017,10,4,2017-10-04
2020,2,29,2020-02-29
2022,1,28,2022-01-28
2022,1,15,2022-01-15
2021,10,22,2021-10-22
2022,2,11,2022-02-11
2022,2,11,2022-02-11
2022,1,28,2022-01-28
2021,11,19,2021-11-19
2015,7,24,2015-07-24
2014,1,1,2014-01-01
2019,10,4,2019-10-04
2021,12,24,2021-12-24
2022,1,14,2022-01-14
2019,10,4,2019-10-04
2022,2,4,2022-02-04
2019,10,4,2019-10-04
2022,2,4,2022-02-04
2019,6,19,2019-06-19
2019,5,16,2019-05-16
2019,12,6,2019-12-06
2020,2,29,2020-02-29
1991,9,24,1991-09-24
2022,3,11,2022-03-11
2022,3,4,2022-03-04
2022,1,21,2022-01-21
2021,11,11,2021-11-11
2022,3,3,2022-03-03
2022,3,3,2022-03-03
2022,2,4,2022-02-04
2022,2,1,2022-02-01
2004,5,4,2004-05-04
2022,3,3,2022-03-03
2021,4,30,2021-04-30
2022,2,18,2022-02-18
2022,2,18,2022-02-18
2022,2,15,2022-02-15
2022,2,18,2022-02-18
2013,7,16,2013-07-16
2022,2,25,2022-02-25
2021,9,3,2021-09-03
2020,2,29,2020-02-29
1975,10,31,1975-10-31
2018,3,16,2018-03-16
2020,3,27,2020-03-27
2013,1,1,2013-01-01
2021,5,21,2021-05-21
2021,9,10,2021-09-10
2020,10,8,2020-10-08
2017,2,22,2017-02-22
2016,5,31,2016-05-31
2022,2,22,2022-02-22
2011,1,1,2011-01-01
2019,6,28,2019-06-28
2022,4,8,2022-04-08
2022,3,23,2022-03-23
2022,2,17,2022-02-17
2022,3,25,2022-03-25
2022,3,31,2022-03-31
2022,4,1,2022-04-01
2015,1,11,2015-01-11
2022,4,5,2022-04-05
2022,3,18,2022-03-18
2022,4,6,2022-04-06
2015,1,1,2015-01-01
2022,4,7,2022-04-07
2021,9,9,2021-09-09
2022,1,30,2022-01-30
2022,3,31,2022-03-31
2022,4,8,2022-04-08
2022,3,30,2022-03-30
2022,4,8,2022-04-08
2022,3,25,2022-03-25
2022,3,25,2022-03-25
2022,3,17,2022-03-17
2019,12,13,2019-12-13
1996,11,24,1996-11-24
2022,3,30,2022-03-30
2022,3,18,2022-03-18
2016,9,23,2016-09-23
2022,3,18,2022-03-18
2019,12,13,2019-12-13
2013,1,1,2013-01-01
2021,6,25,2021-06-25
2022,2,25,2022-02-25
2022,4,5,2022-04-05
2014,6,20,2014-06-20
2015,11,9,2015-11-09
2022,5,13,2022-05-13
2022,4,14,2022-04-14
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,12,2022-05-12
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,5,13,2022-05-13
2022,5,6,2022-05-06
2022,2,14,2022-02-14
2022,5,6,2022-05-06
2022,5,6,2022-05-06
2019,5,31,2019-05-31
2022,5,6,2022-05-06
2022,5,6,2022-05-06
2016,1,15,2016-01-15
2022,5,13,2022-05-13
2022,4,29,2022-04-29
2022,4,29,2022-04-29
2022,5,13,2022-05-13
2022,5,13,2022-05-13
2022,3,10,2022-03-10
2022,4,22,2022-04-22
2022,5,13,2022-05-13
2022,5,13,2022-05-13
2022,4,29,2022-04-29
2022,5,13,2022-05-13
2022,4,22,2022-04-22
2022,4,25,2022-04-25
2022,5,13,2022-05-13
2022,2,6,2022-02-06
2022,5,13,2022-05-13
2022,4,1,2022-04-01
2022,1,26,2022-01-26
2022,5,6,2022-05-06
2022,4,29,2022-04-29
2022,4,13,2022-04-13
2021,12,24,2021-12-24
2022,5,2,2022-05-02
2022,3,23,2022-03-23
2022,2,22,2022-02-22
2022,4,24,2022-04-24
1998,3,31,1998-03-31
2022,5,8,2022-05-08
2019,11,7,2019-11-07
2022,5,6,2022-05-06
2017,10,20,2017-10-20
2021,8,9,2021-08-09
2022,6,10,2022-06-10
2022,6,10,2022-06-10
2022,5,20,2022-05-20
2022,5,20,2022-05-20
2022,6,10,2022-06-10
2022,5,20,2022-05-20
2022,5,6,2022-05-06
2022,6,10,2022-06-10
2022,5,27,2022-05-27
2022,6,10,2022-06-10
2022,5,20,2022-05-20
2022,5,20,2022-05-20
2022,5,27,2022-05-27
2022,5,20,2022-05-20
1982,1,1,1982-01-01
2022,6,8,2022-06-08
2022,5,20,2022-05-20
2022,5,20,2022-05-20
2022,6,9,2022-06-09
2022,2,18,2022-02-18
2022,5,20,2022-05-20
2022,5,20,2022-05-20
2022,5,25,2022-05-25
2014,1,1,2014-01-01
2022,5,3,2022-05-03
2022,5,20,2022-05-20
2022,6,10,2022-06-10
2022,6,2,2022-06-02
2016,11,10,2016-11-10
2022,3,18,2022-03-18
2018,9,12,2018-09-12
2022,6,2,2022-06-02
2022,5,20,2022-05-20
2021,5,15,2021-05-15
2022,5,13,2022-05-13
2022,5,13,2022-05-13
1986,3,3,1986-03-03
2022,6,21,2022-06-21
2022,6,16,2022-06-16
2022,6,17,2022-06-17
2022,6,10,2022-06-10
2022,2,6,2022-02-06
2022,6,24,2022-06-24
2022,3,24,2022-03-24
2022,7,1,2022-07-01
1987,1,1,1987-01-01
2022,5,12,2022-05-12
2022,3,19,2022-03-19
2022,6,17,2022-06-17
2022,7,1,2022-07-01
2022,6,3,2022-06-03
2022,7,6,2022-07-06
2022,6,24,2022-06-24
2022,5,2,2022-05-02
2022,6,10,2022-06-10
2022,8,4,2022-08-04
2022,8,5,2022-08-05
2022,8,5,2022-08-05
2020,12,18,2020-12-18
2022,8,5,2022-08-05
2022,7,20,2022-07-20
2022,7,29,2022-07-29
2019,9,13,2019-09-13
2022,8,1,2022-08-01
2022,3,11,2022-03-11
2022,7,12,2022-07-12
2022,7,22,2022-07-22
2008,1,1,2008-01-01
2022,7,15,2022-07-15
2022,8,15,2022-08-15
2022,2,18,2022-02-18
2022,6,16,2022-06-16
2022,5,20,2022-05-20
2017,11,10,2017-11-10
2022,9,9,2022-09-09
2022,8,22,2022-08-22
2013,1,1,2013-01-01
2022,6,15,2022-06-15
2022,8,26,2022-08-26
2022,1,20,2022-01-20
2022,6,3,2022-06-03
2022,6,10,2022-06-10
2022,9,13,2022-09-13
2022,7,15,2022-07-15
2002,8,5,2002-08-05
2000,7,10,2000-07-10
2022,9,2,2022-09-02
2022,9,13,2022-09-13
2016,6,23,2016-06-23
2022,7,22,2022-07-22
2022,9,13,2022-09-13
2022,6,23,2022-06-23
2022,10,7,2022-10-07
2022,10,14,2022-10-14
2022,8,18,2022-08-18
2022,10,17,2022-10-17
1982,5,16,1982-05-16
2018,11,21,2018-11-21
2022,7,14,2022-07-14
2022,9,29,2022-09-29
2022,9,16,2022-09-16
2020,12,18,2020-12-18
2022,10,14,2022-10-14
2022,9,22,2022-09-22
2022,7,1,2022-07-01
2022,11,4,2022-11-04
2022,11,4,2022-11-04
2022,10,21,2022-10-21
2022,10,21,2022-10-21
2022,11,4,2022-11-04
2022,10,21,2022-10-21
2022,11,4,2022-11-04
2022,10,21,2022-10-21
2022,11,4,2022-11-04
2022,10,21,2022-10-21
2022,10,21,2022-10-21
2022,11,4,2022-11-04
2022,11,4,2022-11-04
2022,10,28,2022-10-28
2022,11,4,2022-11-04
2022,11,4,2022-11-04
2022,10,21,2022-10-21
2022,11,3,2022-11-03
2022,10,21,2022-10-21
2022,11,3,2022-11-03
2022,10,20,2022-10-20
2022,11,4,2022-11-04
